Index  Temperature[C]  Zr[at%]         Nb[at%]         Mo[at%]         Cr[at%]         Al[at%]         Ti[at%]         Ta[at%]         W[at%]          Time[h]         MassChange[mg.cm2](Real) MassChange[mg.cm2](Predicted)
137    1200.00000      0.00000         0.00000         0.00000         80.00000        0.00000         0.00000         20.00000        0.00000         3.49454         6.62808                7.03755               
138    1200.00000      0.00000         33.70000        0.00000         32.40000        0.00000         33.90000        0.00000         0.00000         1.00000         3.81010                5.54745               
139    1000.00000      0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         0.00000         19.49700        13.04779               13.16175              
140    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         68.51852        96.62263               98.03307              
141    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         13.95253        -0.37461               -0.22113              
142    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         39.48949        70.97199               72.01245              
143    1200.00000      0.00000         0.00000         22.50000        22.50000        10.00000        22.50000        22.50000        0.00000         2.49281         2.00751                1.80541               
144    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         41.49149        73.04736               74.14695              
145    800.00000       0.00000         45.00000        0.00000         0.00000         10.00000        30.00000        15.00000        0.00000         9.49950         5.22498                5.23618               
146    1200.00000      0.00000         0.00000         22.50000        22.50000        10.00000        22.50000        22.50000        0.00000         15.00000        3.48134                3.48000               
147    1000.00000      0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         0.00000         6.49900         0.69153                0.98012               
148    1100.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         4.51652         1.49578                1.65750               
149    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         21.94697        -0.33136               -0.26423              
150    1200.00000      0.00000         0.00000         23.70000        23.80000        5.00000         23.80000        23.70000        0.00000         15.00000        4.59176                4.78909               
151    1200.00000      0.00000         0.00000         0.00000         33.30000        0.00000         33.40000        33.30000        0.00000         23.50015        22.92646               23.48187              
152    1200.00000      0.00000         0.00000         0.00000         80.00000        0.00000         0.00000         20.00000        0.00000         11.49987        12.38191               12.98514              
153    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         75.52553        101.60751              103.10754             
154    1000.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        0.00000         20.00000        35.49569        7.48189                7.66674               
155    1200.00000      0.00000         0.00000         22.50000        22.50000        10.00000        22.50000        22.50000        0.00000         5.00000         2.54868                2.37818               
156    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         28.47848        58.11571               58.96827              
157    1200.00000      0.00000         0.00000         0.00000         31.00000        0.00000         22.50000        46.50000        0.00000         16.49249        152.13719              153.63313             
158    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         44.49449        76.09376               77.23316              
159    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         5.25713         1.87281                1.88072               
160    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        0.00000         25.00000        0.00000         13.49731        0.91486                1.02973               
161    1200.00000      0.00000         0.00000         22.50000        22.50000        10.00000        22.50000        22.50000        0.00000         9.50311         2.75105                3.02433               
162    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         1.94420         2.41154                2.56359               
163    1200.00000      0.00000         0.00000         21.25000        21.25000        15.00000        0.21250         21.25000        0.00000         1.50780         1.37082                1.54711               
164    1000.00000      0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         0.00000         0.49049         -0.09396               0.11352               
165    1200.00000      30.90000        34.20000        0.00000         0.00000         0.00000         0.00000         34.40000        0.00000         13.50150        214.08800              215.61644             
166    800.00000       0.00000         40.00000        0.00000         10.00000        0.00000         40.00000        10.00000        0.00000         5.00000         1.89524                2.31000               
167    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         67.51752        95.88330               97.27766              
168    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         7.14550         2.49113                2.82145               
169    1200.00000      0.00000         0.00000         0.00000         37.90000        0.00000         12.20000        49.90000        0.00000         24.00000        70.98712               72.79782              
170    1000.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         35.00000        6.67695                6.97674               
171    1200.00000      0.00000         0.00000         21.25000        21.25000        21.25000        21.25000        15.00000        0.00000         3.49423         1.38355                0.78965               
172    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         11.75310        0.84854                0.55470               
173    1200.00000      0.00000         0.00000         23.75000        23.75000        23.75000        23.75000        5.00000         0.00000         11.49349        3.79196                3.81191               
